00	00	33
FF	FF	FF
00	00	00
00	33	CC
88	22	00
22	55	EE
44	77	FF
DD	00	00
BB	88	33
44	44	44
88	88	88
DD	DD	DD
EE	BB	55
EE	EE	EE
99	99	99
00	00	99

22	00	00
EE	EE	EE
00	00	00
DD	99	00
DD	77	00
AA	66	44
88	22	00
CC	11	00
00	00	00
44	44	44
88	88	88
BB	BB	BB
EE	BB	66
EE	EE	EE
99	99	99
00	00	99

00	00	33
88	88	88
00	00	00
00	11	66
44	11	00
11	22	88
22	44	88
66	00	00
55	44	11
22	22	22
44	44	44
66	66	66
88	66	22
EE	EE	EE
99	99	99
00	00	99

22	00	00
88	88	88
00	00	00
66	44	00
66	44	00
55	33	22
44	11	00
66	00	00
00	00	00
22	22	22
44	44	44
66	66	66
88	66	33
EE	EE	EE
99	99	99
00	00	99
